"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020603755.1"," ","LOC110042726",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000083.1",6.1e-05,"probable E3 ubiquitin-protein ligase HECTD4",42.71,1,7536,1365,2874,205,485,11
"XP_020632950.1"," ","LOC110069750",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000005.1",0.030186,"uncharacterized LOC110069750",43.42,1,1787,750,1054,84,220,3
"XP_020607255.1"," ","LOC110045939",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001020.1",0.036716,"arylsulfatase B-like, transcript variant X1",39.71,2,12524,318,855,24,513,2
"XP_020600912.1"," ","LOC110040065",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000519.1",0.038545,"neuronal growth regulator 1-like",38.8,1,13079,567,1284,212,292,3
"XP_020621404.1"," ","LOC110059067",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001693.1",0.066408,"uncharacterized LOC110059067, transcript variant X2",41.2,2,7557,2079,2598,166,186,8
"XP_020611120.1"," ","LOC110049651",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000622.1",0.144652,"heparanase-like",38.93,1,4575,567,737,NA,170,5
"XP_020606666.1"," ","LOC110045407",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001009.1",0.1468,"BTB and MATH domain-containing protein 36-like",39.65,1,2255,879,2255,660,716,1
"XP_020625815.1"," ","LOC110063194",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000200.1",0.163388,"uncharacterized LOC110063194",41.06,1,1091,633,1091,94,364,1
"XP_020619443.1"," ","LOC110057201",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001608.1",0.180458,"uncharacterized LOC110057201",39.61,1,35577,987,1596,182,246,6
"XP_020619109.1"," ","LOC110056895",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001584.1",0.188916,"acidic phospholipase A2 E-like",38.75,1,2996,393,877,173,311,3
"XP_020617309.1"," ","LOC110055270",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001497.1",0.241282,"craniofacial development protein 2-like",45.32,1,2511,1065,1569,NA,504,3
"XP_020625055.1"," ","LOC110062472",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001905.1",0.261549,"major antigen-like, transcript variant X1",39.8,3,41419,7473,8470,70,858,52
"XP_020614330.1"," ","LOC110052542",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001346.1",0.27784,"uncharacterized oxidoreductase YrbE-like",36.98,1,5657,1014,2488,198,1077,3
"XP_020606695.1"," ","LOC110045430",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000600.1",0.282813,"sex-determining region Y protein-like",42.68,1,1954,909,1954,267,778,1
"XP_020602793.1"," ","LOC110041770",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000561.1",0.324497,"uncharacterized LOC110041770, transcript variant X1",39.67,2,11749,3304,5022,1004,714,8
"XP_020615745.1"," ","LOC110053801",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001412.1",0.394533,"uncharacterized FAD-linked oxidoreductase YvdP-like",43.24,1,9068,1350,1811,NA,230,2
"XP_020627039.1"," ","LOC110064336",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000242.1",0.39744,"uncharacterized LOC110064336",42.33,1,13005,6084,6483,NA,399,13
"XP_020605845.1"," ","LOC110044624",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000954.1",0.413885,"thyroid peroxidase-like",38.88,1,17765,3060,4504,142,1160,24
"XP_020620216.1"," ","LOC110057948",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001646.1",0.535268,"uncharacterized LOC110057948",41.64,1,11904,1938,2585,146,501,5
"XP_020619070.1"," ","LOC110056856",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000153.1",0.593731,"short transient receptor potential channel 2-like, transcript variant X1",37.4,3,13652,2311,3399,286,203,16
"XP_020620771.1"," ","LOC110058457",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000682.1",0.63843,"sterile alpha motif domain-containing protein 9-like",43.28,1,1767,1404,1404,NA,NA,2
"XP_020612978.1"," ","LOC110051286",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001314.1",0.644878,"thioredoxin domain-containing protein 3 homolog",38.05,1,2642,276,1142,492,374,2
"XP_020608882.1"," ","LOC110047470",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001125.1",0.658617,"potassium channel subfamily K member 15-like",40.4,1,4126,933,2407,749,725,2
"XP_020626695.1"," ","LOC110064035",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000241.1",0.689488,"dual specificity tyrosine-phosphorylation-regulated kinase 2-like",42.5,1,2419,1737,2419,132,550,1
"XP_020628141.1"," ","LOC110065349",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000299.1",0.691457,"polyadenylate-binding protein-interacting protein 2-like",36.8,1,14203,399,668,70,199,2
"XP_020632649.1"," ","LOC110069466",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000476.1",0.739602,"uncharacterized LOC110069466",41.45,1,1105,621,627,6,NA,2
"XP_020614246.1"," ","LOC110052457",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001346.1",0.765132,"uncharacterized 34.8 kDa protein in hlyA 3'region-like",45.81,1,1098,1098,1098,NA,NA,1
"XP_020613135.1"," ","LOC110051450",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001323.1",0.859419,"von Willebrand factor D and EGF domain-containing protein-like, transcript variant X3",37.95,3,29562,2599,3540,305,70,18
"XP_020612069.1"," ","LOC110050486",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001292.1",0.912633,"histone PARylation factor 1-like",40.54,1,6143,1071,3067,483,1513,6
"XP_020600456.1"," ","LOC110039661",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000005.1",0.925559,"trichohyalin-like, transcript variant X1",39.64,4,38508,6906,6986,70,10,52
