"ProteinID","GeneID","Query.Length","Description","SequenceID","Length","GeneSymbol","pident","UniprotID"
"FUN_000003-T1","FUN_000003","Length: 652","Guanylate-binding protein 7 [Acropora cervicornis]","KAK2568392.1",637,"GBP7",28.094,"Q91Z40"
"FUN_000016-T1","FUN_000016","Length: 431","Actin-like protein 6A [Acropora cervicornis]","KAK2568226.1",474,"TRAPPC6A",68.677,"O96019"
"FUN_000019-T1","FUN_000019","Length: 917","Kinesin-like protein KIF27 [Acropora cervicornis]","KAK2568225.1",1157,"GPRASP1",35.081,"Q86VH2"
"FUN_000022-T1","FUN_000022","Length:729","Splicing factor 3A subunit 1 [Acropora cervicornis]","KAK2568504.1",735,"SF3A1",53.446,"A2VDN6"
"FUN_000023-T1","FUN_000023","Length: 1876","PREDICTED: uncharacterized protein LOC107343909 isoform X1 [Acropora digitifera]","XP_015764986.1",1878,"ATP6V1A2",26.65,"Q6UXI7"
"FUN_000033-T1","FUN_000033","Length: 569","hypothetical protein P5673_007369 [Acropora cervicornis]","KAK2568350.1",292,NA,29.801,"Q64487"
"FUN_000034-T1","FUN_000034","Length: 1590","hypothetical protein","",NA,NA,29.63,"P13542"
"FUN_000035-T1","FUN_000035","Length:919","histamine N-methyltransferase-like [Acropora muricata]","XP_067052637.1",289,"METTL13",31.095,"Q8R2Q6"
"FUN_000037-T1","FUN_000037","Length: 245","Persulfide dioxygenase ETHE1-like protein [Acropora cervicornis]","KAK2568353.1",210,"ETHE1",58.678,"Q9C8L4"
"FUN_000041-T1","FUN_000041","Length: 496","putative diacylglycerol O-acyltransferase [Acropora cervicornis]","KAK2568202.1",596,"DGAT1",24.552,"P9WKB9"
"FUN_000042-T1","FUN_000042","Length: 491","putative diacylglycerol O-acyltransferase tgs1 [Acropora cervicornis]","KAK2568194.1",474,"DGAT1",25.065,"P9WKB8"
"FUN_000045-T1","FUN_000045","Length: 327","Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis]","KAK2568197.1",323,"G6PDL",48.736,"A5PJF6"
"FUN_000046-T1","FUN_000046","Length: 560","sodium-dependent glucose transporter 1A-like isoform X1 [Acropora muricata]","XP_067055168.1",564,"ATP6V1A2",30.723,"A4QN56"
"FUN_000047-T1","FUN_000047","Length: 762","kinesin-II 95 kDa subunit-like [Acropora millepora]","XP_044174790.1",762,"OSTCP1",70.672,"P46871"
"FUN_000051-T1","FUN_000051","Length: 309","Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis]","KAK2568464.1",125,"G6PDL",51.504,"O57314"
"FUN_000069-T1","FUN_000069","Length: 880","EF-hand calcium-binding domain-containing protein 4A [Acropora cervicornis]","KAK2568309.1",421,"SCPPPQ1",32.653,"Q3UP38"
"FUN_000073-T1","FUN_000073","Length: 176","40S ribosomal protein S11-like [Acropora millepora]","XP_029194650.2",176,"RPS19BP1",74.375,"G1TRM4"
"FUN_000080-T1","FUN_000080","Length: 303","Secreted frizzled-related protein 3 [Acropora cervicornis]","KAK2568413.1",293,"MFRP",31.25,"P97401"
