"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020604272.1"," ","LOC110043179",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000009.1",8e-06,"copper chaperone for superoxide dismutase-like",37.58,1,1304,339,469,NA,130,3
"XP_020610217.1"," ","LOC110048780",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001202.1",2.1e-05,"protein DEK-like",33.35,1,1667,285,640,35,320,5
"XP_020605704.1"," ","LOC110044490",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000951.1",4.1e-05,"uncharacterized LOC110044490",40.56,1,41964,2982,3449,34,433,16
"XP_020625814.1"," ","LOC110063192",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000200.1",0.000316,"peroxidasin-like",37.47,1,19501,1752,2799,243,804,6
"XP_020606631.1"," ","LOC110045366",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000995.1",0.000436,"quinone oxidoreductase-like protein 2 homolog",38.9,1,9551,747,976,122,107,7
"XP_020607908.1"," ","LOC110046554",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001073.1",0.001177,"CWF19-like protein 1",39.45,1,8877,1416,1836,1,419,13
"XP_020603115.1"," ","LOC110042118",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000831.1",0.001247,"cAMP-dependent protein kinase catalytic subunit-like, transcript variant X2",40.74,3,10936,2784,5834,180,2511,6
"XP_020628312.1"," ","LOC110065499",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000311.1",0.001317,"SNW domain-containing protein 1-like",39.68,1,8705,1026,1065,NA,39,10
"XP_020605694.1"," ","LOC110044481",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000951.1",0.002155,"properdin-like, transcript variant X2",41.64,2,6160,1072,2712,450,599,7
"XP_020616044.1"," ","LOC110054054",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001431.1",0.003044,"liprin-beta-1-like",38.31,1,22287,1701,2502,85,716,14
"XP_020602803.1"," ","LOC110041815",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000802.1",0.003487,"dihydropyrimidine dehydrogenase [NADP(+)]-like",38.82,1,6469,312,1514,890,312,2
"YP_271952.1"," CYTB","GENEID_3562131",3562131,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","NC_007226.1",0.003816,"Cytochrome b [Source:UniProtKB/TrEMBL;Acc:Q762T3]",33.16,1,1140,1140,1140,NA,NA,1
"YP_271954.1"," ND6","GENEID_3562141",3562141,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","NC_007226.1",0.006269,"NADH-ubiquinone oxidoreductase chain 6 [Source:UniProtKB/TrEMBL;Acc:Q4G6C9]",31.19,1,561,561,561,NA,NA,1
"XP_020600665.1"," ","LOC110039852",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000514.1",0.006755,"DELTA-actitoxin-Aeq1b-like",38.64,1,6018,1068,1385,162,155,8
"XP_020626456.1"," ","LOC110063802",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000231.1",0.007155,"uncharacterized LOC110063802",38.76,1,3550,1560,2545,51,934,2
"YP_271956.1"," ND4","GENEID_3562138",3562138,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","NC_007226.1",0.007506,"NADH-ubiquinone oxidoreductase chain 4 [Source:UniProtKB/TrEMBL;Acc:Q4G6C7]",34.51,1,1440,1440,1440,NA,NA,1
"XP_020608240.1"," ","LOC110046866",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001096.1",0.007898,"ubiquitin carboxyl-terminal hydrolase 24-like",35.22,1,2314,603,819,102,114,2
"XP_020632840.1"," ","LOC110069651",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000495.1",0.010949,"2-hydroxyacyl-CoA lyase 1-like",39.31,1,18074,2727,4734,1414,593,26
"XP_020611612.1"," ","LOC110050087",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000116.1",0.011792,"P-selectin-like",38.64,1,3991,1107,1538,431,NA,6
"XP_020608641.1"," ","LOC110047236",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001111.1",0.01425,"Golgi-associated plant pathogenesis-related protein 1-like, transcript variant X1",39.96,2,10557,645,1907,40,1203,2
"XP_020615284.1"," ","LOC110053402",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001387.1",0.016177,"protein tyrosine phosphatase type IVA 1-like",36.6,1,8294,558,3601,150,2742,6
"XP_020622574.1"," ","LOC110060162",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001765.1",0.016662,"poly(A)-specific ribonuclease PARN-like",39.43,1,2587,1803,2587,85,699,1
"XP_020608815.1"," ","LOC110047378",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000566.1",0.020817,"rhotekin-like, transcript variant X1",40.62,2,63174,1508,2314,333,474,10
"XP_020601664.1"," ","LOC110040739",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000743.1",0.021369,"solute carrier family 15 member 1-like",40.5,1,5357,1044,1464,299,121,7
"XP_020610278.1"," ","LOC110048837",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001213.1",0.024359,"supervillin-like, transcript variant X2",40.19,4,25464,5625,6801,443,290,24
"XP_020623091.1"," ","LOC110060645",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001796.1",0.026076,"uncharacterized LOC110060645, transcript variant X1",40.01,3,12815,2034,3078,360,533,7
"XP_020626460.1"," ","LOC110063806",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000231.1",0.030046,"ATP-dependent RNA helicase A-like, transcript variant X3",40.16,3,28639,3628,4947,209,1109,29
