"Protein","Protein.Description","pident","UniprotID"
"tr|A0A060BFZ1|A0A060BFZ1_9DINO","Superoxide dismutase [Fe] OS=Cladocopium sp. C3 OX=2558455 GN=MnSOD PE=2 SV=1",NA,NA
"tr|A0A060BJB1|A0A060BJB1_9DINO","Ascorbate peroxidase (Fragment) OS=Symbiodinium sp. A1 OX=503409 GN=APX PE=2 SV=1",NA,NA
"tr|A0A060BJC5|A0A060BJC5_9DINO","Superoxide dismutase [Fe] (Fragment) OS=Symbiodinium sp. B1 OX=503418 GN=MnSOD PE=2 SV=1",NA,NA
"tr|A0A060BJD1|A0A060BJD1_9DINO","Tubulin beta chain OS=Symbiodinium sp. B1 OX=503418 GN=Tub PE=2 SV=1",NA,NA
"tr|A0A060BJY5|A0A060BJY5_9DINO","Catalase peroxidase (Fragment) OS=Symbiodinium sp. clade F1 OX=1075212 GN=KatG PE=2 SV=1",NA,NA
"tr|A0A060BQ26|A0A060BQ26_9DINO","Superoxide dismutase [Fe] OS=Cladocopium sp. C15 OX=377605 GN=MnSOD PE=2 SV=1",NA,NA
"tr|A0A060BQU0|A0A060BQU0_9DINO","S-adenosylmethionine synthetase (Fragment) OS=Symbiodinium sp. B1 OX=503418 GN=SAM PE=2 SV=1",NA,NA
"tr|A0A0A0N1X1|A0A0A0N1X1_9DINO","PSII CP47 apoprotein OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psbB PE=4 SV=1",NA,NA
"tr|A0A0A0N1X2|A0A0A0N1X2_9DINO","Photosystem II CP43 reaction center protein OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psbC PE=3 SV=1",NA,NA
"tr|A0A0A0N2N8|A0A0A0N2N8_9DINO","ATP synthase subunit beta OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=atpB PE=3 SV=1",NA,NA
"tr|A0A0A0N2P0|A0A0A0N2P0_9DINO","Photosystem I OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psaB PE=3 SV=1",NA,NA
"tr|A0A0A0N2S8|A0A0A0N2S8_9DINO","Cytochrome b6 OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=petB PE=3 SV=1",NA,NA
"tr|A0A0A0N2S9|A0A0A0N2S9_9DINO","Photosystem I P700 chlorophyll a apoprotein A1 OS=Symbiodinium sp. Mf1.05b OX=1240977 GN=psaA PE=3 SV=1",NA,NA
"tr|A0A0K0VKB7|A0A0K0VKB7_SYMMI","Translation elongation factor 1 alpha-like protein OS=Symbiodinium microadriaticum subsp. microadriaticum OX=154572 GN=EF-1alpha PE=2 SV=1",NA,NA
"tr|A0A1Q8ZXV8|A0A1Q8ZXV8_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48732 PE=4 SV=1",NA,NA
"tr|A0A1Q9BPX8|A0A1Q9BPX8_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48312 PE=4 SV=1",NA,NA
"tr|A0A1Q9BQL8|A0A1Q9BQL8_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48082 PE=4 SV=1",NA,NA
"tr|A0A1Q9BQT6|A0A1Q9BQT6_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47873 PE=4 SV=1",NA,NA
"tr|A0A1Q9BQW4|A0A1Q9BQW4_SYMMI","ATP-dependent zinc metalloprotease FtsH (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ftsH PE=3 SV=1",NA,NA
"tr|A0A1Q9BRM0|A0A1Q9BRM0_SYMMI","Pyruvate, water dikinase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ppsA PE=3 SV=1",NA,NA
"tr|A0A1Q9BRW9|A0A1Q9BRW9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47331 PE=4 SV=1",NA,NA
"tr|A0A1Q9BRZ0|A0A1Q9BRZ0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47439 PE=4 SV=1",NA,NA
"tr|A0A1Q9BRZ1|A0A1Q9BRZ1_SYMMI","Pyruvate, water dikinase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ppsA PE=3 SV=1",NA,NA
"tr|A0A1Q9BS93|A0A1Q9BS93_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene47192 PE=4 SV=1",NA,NA
"tr|A0A1Q9BSM7|A0A1Q9BSM7_SYMMI","Elongation factor 1-alpha 2 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=EFA2 PE=4 SV=1",NA,NA
"tr|A0A1Q9BSN2|A0A1Q9BSN2_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46996 PE=4 SV=1",NA,NA
"tr|A0A1Q9BSP5|A0A1Q9BSP5_SYMMI","Fucoxanthin-chlorophyll a-c binding protein B, chloroplastic (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=FCPB PE=4 SV=1",NA,NA
"tr|A0A1Q9BSU3|A0A1Q9BSU3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46902 PE=4 SV=1",NA,NA
"tr|A0A1Q9BT50|A0A1Q9BT50_SYMMI","Type-3 glutamine synthetase OS=Symbiodinium microadriaticum OX=2951 GN=glnA3 PE=3 SV=1",NA,NA
"tr|A0A1Q9BT89|A0A1Q9BT89_SYMMI","Pentatricopeptide repeat-containing protein, mitochondrial (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46729 PE=4 SV=1",NA,NA
"tr|A0A1Q9BTJ1|A0A1Q9BTJ1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46680 PE=4 SV=1",NA,NA
"tr|A0A1Q9BU41|A0A1Q9BU41_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46333 PE=4 SV=1",NA,NA
"tr|A0A1Q9BU68|A0A1Q9BU68_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46313 PE=4 SV=1",NA,NA
"tr|A0A1Q9BUE8|A0A1Q9BUE8_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46236 PE=4 SV=1",NA,NA
"tr|A0A1Q9BUI4|A0A1Q9BUI4_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46126 PE=4 SV=1",NA,NA
"tr|A0A1Q9BUJ8|A0A1Q9BUJ8_SYMMI","Urease subunit alpha (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=ureC PE=4 SV=1",NA,NA
"tr|A0A1Q9BUT2|A0A1Q9BUT2_SYMMI","Caltractin OS=Symbiodinium microadriaticum OX=2951 GN=Caltractin PE=3 SV=1",NA,NA
"tr|A0A1Q9BUT7|A0A1Q9BUT7_SYMMI","Fructose-bisphosphate aldolase (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=fbaA PE=3 SV=1",NA,NA
"tr|A0A1Q9BV61|A0A1Q9BV61_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45862 PE=4 SV=1",NA,NA
"tr|A0A1Q9BVB1|A0A1Q9BVB1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45896 PE=4 SV=1",NA,NA
