"ProteinID","contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10","fc_dir","Description","GeneSymbol","UniprotID"
"FUN_000003-T1","CFR - MK",2.21838378021697,24.0784870205156,2.08649503620447,0.051999044723155,0.542540610024972,-4.04023782815862,1.28400463473584,"none","Guanylate-binding protein 7 [Acropora cervicornis]","GBP7","Q91Z40"
"FUN_000016-T1","CFR - MK",1.83876403564231,21.6694908278351,0.969215852806553,0.345763790696818,0.639074514970709,-4.67424302820889,0.46122048915332,"none","Actin-like protein 6A [Acropora cervicornis]","TRAPPC6A","O96019"
"FUN_000019-T1","CFR - MK",-2.5484104403041,8.3313545895761,-0.436819433141595,0.667633464674833,0.828214169175785,-4.83896300466262,0.175461902730701,"none","Kinesin-like protein KIF27 [Acropora cervicornis]","GPRASP1","Q86VH2"
"FUN_000022-T1","CFR - MK",0.495554429881292,24.414911852321,0.570934022758164,0.575370055960315,0.768567748299073,-4.8084139201264,0.240052743887461,"none","Splicing factor 3A subunit 1 [Acropora cervicornis]","SF3A1","A2VDN6"
"FUN_000023-T1","CFR - MK",7.18873336889631,10.8317275648525,1.21990792393858,0.238833163718044,0.622369111102879,-4.56007993075629,0.621905368414815,"none","PREDICTED: uncharacterized protein LOC107343909 isoform X1 [Acropora digitifera]","ATP6V1A2","Q6UXI7"
"FUN_000033-T1","CFR - MK",-5.51291604458714,18.0854625922147,-1.16195935063513,0.260997128201223,0.622369111102879,-4.58829372227624,0.583364271256445,"none","hypothetical protein P5673_007369 [Acropora cervicornis]",NA,"Q64487"
"FUN_000034-T1","CFR - MK",5.48132814068252,2.43614584030334,1.335430441869,0.199002819899931,0.622369111102879,-4.50082358034405,0.701140769528471,"none","hypothetical protein",NA,"P13542"
"FUN_000035-T1","CFR - MK",-5.58798968976058,19.8231992318275,-1.27956489831227,0.217555550622752,0.622369111102879,-4.52996579109981,0.662429831819297,"none","histamine N-methyltransferase-like [Acropora muricata]","METTL13","Q8R2Q6"
"FUN_000037-T1","CFR - MK",1.20516558525325,23.0289067528687,0.973659217019847,0.343614238428685,0.637775944648536,-4.67240540433034,0.463928848499439,"none","Persulfide dioxygenase ETHE1-like protein [Acropora cervicornis]","ETHE1","Q9C8L4"
"FUN_000041-T1","CFR - MK",11.8249669904778,9.02518462917329,1.97067430650959,0.0649411774118353,0.573149873200096,-4.11772564922249,1.1874798416905,"none","putative diacylglycerol O-acyltransferase [Acropora cervicornis]","DGAT1","P9WKB9"
"FUN_000042-T1","CFR - MK",2.88096665022256,10.9325034900659,0.459906917470638,0.651297465086195,0.819137636619916,-4.83425956621432,0.186220612139475,"none","putative diacylglycerol O-acyltransferase tgs1 [Acropora cervicornis]","DGAT1","P9WKB8"
"FUN_000045-T1","CFR - MK",12.7057560369584,7.43479280141129,2.45765241259282,0.0247854004560791,0.473668197289541,-3.78312925923803,1.60580405983487,"pos","Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis]","G6PDL","A5PJF6"
"FUN_000046-T1","CFR - MK",4.15387329706587,1.84616590980705,1.43315932724296,0.169597488610067,0.622369111102879,-4.44777146195851,0.770580583039596,"none","sodium-dependent glucose transporter 1A-like isoform X1 [Acropora muricata]","ATP6V1A2","A4QN56"
"FUN_000047-T1","CFR - MK",6.9568968782845,3.09195416812645,1.82006781632137,0.0860558639029674,0.611116010612387,-4.21567250877478,1.06521953121749,"none","kinesin-II 95 kDa subunit-like [Acropora millepora]","OSTCP1","P46871"
"FUN_000051-T1","CFR - MK",17.5988138485043,7.82169504377971,3.81982038991418,0.00132907109059796,0.225642588154854,-2.83792158231697,2.8764517884864,"pos","Inactive hydroxysteroid dehydrogenase-like protein 1 [Acropora cervicornis]","G6PDL","O57314"
"FUN_000069-T1","CFR - MK",3.88286691501709,7.22300315336927,0.673553124190666,0.509474932516474,0.726813481152373,-4.77988260739984,0.292877179542917,"none","EF-hand calcium-binding domain-containing protein 4A [Acropora cervicornis]","SCPPPQ1","Q3UP38"
"FUN_000073-T1","CFR - MK",9.96200098912229,10.246591348595,1.62298091330464,0.122633289908906,0.622369111102879,-4.33789777832683,0.91139162067211,"none","40S ribosomal protein S11-like [Acropora millepora]","RPS19BP1","G1TRM4"
"FUN_000080-T1","CFR - MK",-2.27953293647801,10.7952017334633,-0.347012781455681,0.732757752265378,0.86766021455823,-4.8550205400748,0.135039578214308,"none","Secreted frizzled-related protein 3 [Acropora cervicornis]","MFRP","P97401"
"FUN_000082-T1","CFR - MK",4.5640422536844,2.02846322385974,1.51869961183763,0.146860979202497,0.622369111102879,-4.39931278934819,0.833093580439633,"none","Mitochondrial potassium channel ATP-binding subunit, partial [Acropora cervicornis]","KCNAB1","Q56A55"
"FUN_000085-T1","CFR - MK",-4.07546705082359,17.4977312963046,-0.829283407449617,0.418214729861874,0.669876650460672,-4.72842159607539,0.37860067504519,"none","glutamic acid-rich protein-like isoform X1 [Acropora muricata]","MLPL1","P75186"
"FUN_000086-T1","CFR - MK",-5.91880857678517,24.0248890877276,-0.985487617551709,0.356343904571745,0.644014127424086,-4.66382914907498,0.448130665612633,"none","RNA-binding protein 3 [Acropora cervicornis]","KRTAP3-3","Q925G0"
"FUN_000087-T1","CFR - MK",-5.62501383388335,24.2673592574188,-0.917189188489148,0.388752757452559,0.659629622190223,-4.69067517214541,0.410326517470744,"none","29 kDa ribonucleoprotein [Acropora cervicornis]","HNRNPA1P29","Q43349"
"FUN_000088-T1","CFR - MK",2.28281195121097,21.9341326311463,1.29313563932268,0.2129284486951,0.622369111102879,-4.52296884795079,0.671766309975961,"none","RNA-binding motif protein [Acropora cervicornis]","RBM3","Q7ZWA3"
"FUN_000094-T1","CFR - MK",-1.38890011829458,7.32092982923755,-0.250621101816905,0.805052689398317,0.907486800241817,-4.86823689068341,0.0941756948295114,"none","CUB domain-containing protein-like [Acropora muricata]","MLPL1","Q60997"
"FUN_000097-T1","CFR - MK",-8.64388964695163,17.9630007135543,-1.78990931322747,0.0909472551045593,0.611116010612387,-4.23484610807214,1.04121040392246,"none","CUB domain-containing protein [Acropora cervicornis]","VWC2L","B3EX01"
"FUN_000099-T1","CFR - MK",-5.76069253609491,20.112739631409,-1.35913304225367,0.191521045547154,0.622369111102879,-4.48819359948039,0.717783496041048,"none","Threonine-rich protein [Acropora cervicornis]","GPRASP1","B3EWZ7"
"FUN_000102-T1","CFR - MK",7.26989090295706,12.6510463415765,1.13590247439336,0.271454455259435,0.622369111102879,-4.60063545953315,0.566303026070524,"none","FAS-associated factor 2-like isoform X1 [Acropora muricata]","RFX1","Q6GQ69"
"FUN_000103-T1","CFR - MK",1.57248565473648,25.340263601603,2.23387486997224,0.0389339744194351,0.536272555744168,-3.93946849796524,1.40967126079951,"pos","transcriptional activator protein Pur-beta-like [Stylophora pistillata]","PRKRA","P42669"
"FUN_000107-T1","CFR - MK",-3.60074521430152,2.00041400794529,-0.977970704726918,0.341537379346522,0.636918761434418,-4.67061560018475,0.466561758291208,"none","actin [Acropora cervicornis]","ABITRAM","Q8CG64"
"FUN_000111-T1","CFR - MK",-1.67124030428167,3.12289251974213,-0.394954038627271,0.697693054060618,0.84867111267471,-4.84689378881402,0.15633560065302,"none","Synaptojanin-1 [Acropora cervicornis]","SYNJ1","O43426"
