"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020621349.1"," ","LOC110059023",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001689.1",7e-06,"uncharacterized LOC110059023",38.93,1,11308,924,3712,2788,NA,4
"XP_020610523.1"," ","LOC110049094",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001224.1",3.4e-05,"roundabout homolog 1-like",38.01,1,10267,1692,2995,172,1131,6
"XP_020629749.1"," ","LOC110066842",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000374.1",0.037344,"uncharacterized LOC110066842, transcript variant X1",40.98,3,21773,3165,4558,477,916,22
"XP_020600912.1"," ","LOC110040065",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000519.1",0.038545,"neuronal growth regulator 1-like",38.8,1,13079,567,1284,212,292,3
"XP_020609564.1"," ","LOC110048117",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001152.1",0.064281,"contactin-associated protein-like 2, transcript variant X1",39.33,2,37036,1188,1516,59,140,5
"XP_020622887.1"," ","LOC110060447",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000167.1",0.109399,"uncharacterized LOC110060447",39.45,1,5024,591,1888,102,1092,4
"XP_020602481.1"," ","LOC110041530",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000797.1",0.187233,"hemicentin-1-like, transcript variant X1",40.25,3,38998,1749,1977,27,201,8
"XP_020626494.1"," ","LOC110063838",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000237.1",0.226585,"cytochrome P450 3A2-like",44.78,1,4920,1488,4128,77,2563,2
"XP_020628422.1"," ","LOC110065609",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000322.1",0.234671,"polyamine oxidase 1-like",42.36,1,2681,1446,1659,1,212,3
"XP_020603885.1"," ","LOC110042845",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000847.1",0.240577,"SUMO-conjugating enzyme UBC9-like",39.4,1,9617,504,812,24,284,7
"XP_020625055.1"," ","LOC110062472",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001905.1",0.261549,"major antigen-like, transcript variant X1",39.8,3,41419,7473,8470,70,858,52
"XP_020608184.1"," ","LOC110046813",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001085.1",0.282663,"receptor-type tyrosine-protein phosphatase S-like, transcript variant X3",36.65,4,49332,1774,2434,471,189,6
"XP_020602793.1"," ","LOC110041770",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000561.1",0.324497,"uncharacterized LOC110041770, transcript variant X1",39.67,2,11749,3304,5022,1004,714,8
"XP_020616062.1"," ","LOC110054070",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001431.1",0.352744,"(S)-coclaurine N-methyltransferase-like",40.26,1,4133,1041,1222,NA,181,5
"XP_020627777.1"," ","LOC110065018",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000280.1",0.360291,"acyl-CoA dehydrogenase family member 11-like, transcript variant X2",40.56,2,43186,1092,1520,82,345,9
"XP_020612484.1"," ","LOC110050849",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000624.1",0.362653,"serine/threonine-protein kinase PDIK1L-like",43.13,1,1535,978,1535,87,470,1
"XP_020629256.1"," ","LOC110066368",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000361.1",0.368139,"uncharacterized LOC110066368",38.99,1,18218,2343,4722,71,2308,7
