"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020616044.1"," ","LOC110054054",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001431.1",0.003044,"liprin-beta-1-like",38.31,1,22287,1701,2502,85,716,14
"XP_020619228.1"," ","LOC110056966",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000571.1",0.012132,"protein argonaute-2-like",39.22,1,10347,711,713,2,NA,3
"XP_020611613.1"," ","LOC110050088",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000116.1",0.023986,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like",39.46,1,53682,7768,7768,NA,NA,45
"XP_020621721.1"," ","LOC110059368",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001699.1",0.064457,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like, transcript variant X2",39.8,2,40475,5886,6914,109,702,26
"XP_020607690.1"," ","LOC110046338",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001056.1",0.074446,"uncharacterized skeletal organic matrix protein 5-like",40.36,1,2701,885,1922,886,151,4
"XP_020607597.1"," ","LOC110046248",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001054.1",0.07815,"PC-esterase domain-containing protein 1A-like",38.47,1,6137,2121,6137,550,3466,1
"XP_020622934.1"," ","LOC110060492",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001773.1",0.078545,"meckelin-like",41.62,1,5356,2967,3853,16,870,4
"XP_020627169.1"," ","LOC110064456",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000256.1",0.093453,"uncharacterized LOC110064456",39.34,1,9582,2811,3864,NA,1053,7
"XP_020604080.1"," ","LOC110043017",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000849.1",0.0952,"uncharacterized LOC110043017, transcript variant X1",39.27,3,52627,3635,4744,158,792,37
"XP_020607333.1"," ","LOC110046014",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000095.1",0.096697,"kynurenine formamidase-like",40.89,1,2837,813,1048,2,233,3
"XP_020600934.1"," ","LOC110040085",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000523.1",0.104167,"uncharacterized LOC110040085",38.76,1,5855,669,3654,2077,908,4
"XP_020605922.1"," ","LOC110044691",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000090.1",0.108229,"tetratricopeptide repeat protein 28-like, transcript variant X1",40.64,2,23813,3846,5254,203,533,6
"XP_020607078.1"," ","LOC110045786",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000601.1",0.116052,"X-ray repair cross-complementing protein 5-like",37.1,1,4904,420,655,9,226,5
"XP_020608004.1"," ","LOC110046651",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001081.1",0.120652,"protein asunder homolog",40.25,1,22738,1848,2371,83,440,18
"XP_020607741.1"," ","LOC110046391",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001065.1",0.124397,"probable splicing factor 3B subunit 5",36.38,1,3900,426,961,59,238,6
"XP_020617393.1"," ","LOC110055351",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001501.1",0.133211,"uncharacterized LOC110055351, transcript variant X1",37.91,2,6689,384,932,91,419,4
"XP_020629894.1"," ","LOC110066967",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000711.1",0.13351,"ras association domain-containing protein 2-like, transcript variant X3",37.45,5,29834,1201,2332,980,96,12
"XP_020616772.1"," ","LOC110054758",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001452.1",0.142577,"glutaredoxin-C8-like",37.17,1,3487,330,593,53,210,2
