"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"XP_020621349.1"," ","LOC110059023",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001689.1",7e-06,"uncharacterized LOC110059023",38.93,1,11308,924,3712,2788,NA,4
"XP_020610523.1"," ","LOC110049094",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001224.1",3.4e-05,"roundabout homolog 1-like",38.01,1,10267,1692,2995,172,1131,6
"XP_020625814.1"," ","LOC110063192",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000200.1",0.000316,"peroxidasin-like",37.47,1,19501,1752,2799,243,804,6
"XP_020628312.1"," ","LOC110065499",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000311.1",0.001317,"SNW domain-containing protein 1-like",39.68,1,8705,1026,1065,NA,39,10
"XP_020602803.1"," ","LOC110041815",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000802.1",0.003487,"dihydropyrimidine dehydrogenase [NADP(+)]-like",38.82,1,6469,312,1514,890,312,2
"XP_020626456.1"," ","LOC110063802",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000231.1",0.007155,"uncharacterized LOC110063802",38.76,1,3550,1560,2545,51,934,2
"XP_020627712.1"," ","LOC110064947",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000274.1",0.008962,"GFP-like fluorescent chromoprotein cFP484",40.95,1,1365,564,633,51,18,3
"XP_020611612.1"," ","LOC110050087",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000116.1",0.011792,"P-selectin-like",38.64,1,3991,1107,1538,431,NA,6
"XP_020615284.1"," ","LOC110053402",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001387.1",0.016177,"protein tyrosine phosphatase type IVA 1-like",36.6,1,8294,558,3601,150,2742,6
"XP_020601664.1"," ","LOC110040739",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000743.1",0.021369,"solute carrier family 15 member 1-like",40.5,1,5357,1044,1464,299,121,7
"XP_020624168.1"," ","LOC110061657",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001841.1",0.046458,"RNA binding protein fox-1 homolog 3-like, transcript variant X1",35.61,2,15455,837,2785,815,1133,9
"XP_020600936.1"," ","LOC110040087",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000523.1",0.048704,"uncharacterized LOC110040087",38.87,1,10296,342,1022,58,563,4
"XP_020619146.1"," ","LOC110056928",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001589.1",0.049678,"DELTA-alicitoxin-Pse2b-like, transcript variant X1",39.17,2,10215,1455,1842,136,115,2
"XP_020624859.1"," ","LOC110062333",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001886.1",0.058885,"protein ABHD17C-like",36.32,1,8119,864,2537,94,1579,2
"XP_020628924.1"," ","LOC110066065",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000349.1",0.059682,"uncharacterized LOC110066065",35.93,1,9281,1455,1918,283,180,4
"XP_020605679.1"," ","LOC110044468",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01000948.1",0.059971,"trimeric intracellular cation channel type A-like",37.08,1,5559,792,1203,17,394,6
"XP_020609564.1"," ","LOC110048117",NA,"protein_coding","Orbicella faveolata Mountainous star coral, FL - GCA_002042975.1","MZGG01001152.1",0.064281,"contactin-associated protein-like 2, transcript variant X1",39.33,2,37036,1188,1516,59,140,5
